visibility,altitude,date,TDB,eclipse_type
visible,3.129091046638381,1620-06-15,2312918.5352682127,Total
not_visible,-27.00924132306801,1620-12-09,2313096.2216570764,Total
visible,22.515187307467926,1621-06-04,2313272.772715907,Partial
visible,53.03927535372311,1621-11-29,2313450.5993063697,Partial
not_visible,-18.569431224401207,1622-04-25,2313597.984555127,Penumbral
not_visible,-53.351587220707096,1622-05-24,2313627.304340476,Penumbral
visible,15.257717327531191,1622-10-19,2313774.9129125923,Penumbral
visible,37.76128734997514,1623-04-15,2313952.6829972127,Partial
not_visible,-3.1589725730016402,1623-10-08,2314128.9713026425,Partial
not_visible,-51.92261768332725,1624-04-03,2314307.258407733,Total
not_visible,-32.687929860242505,1624-09-26,2314483.3224771484,Total
visible,22.131036279123784,1625-03-24,2314661.5496141124,Partial
visible,2.251402663577455,1625-09-16,2314837.9334978596,Partial
visible,45.936282973639464,1626-02-11,2314985.82214396,Penumbral
not_visible,-55.03002147406026,1626-08-07,2315163.289142038,Penumbral
visible,34.10214253275508,1626-09-06,2315192.629126881,Penumbral
visible,12.206559049882385,1627-01-31,2315339.9578227066,Partial
visible,26.87941887299202,1627-07-28,2315517.7650227803,Total
not_visible,-5.611002581730837,1628-01-20,2315694.3940288904,Total
not_visible,-10.230425169981528,1628-07-16,2315871.9423047747,Total
not_visible,-1.3208927673202653,1629-01-09,2316049.022746498,Partial
not_visible,-18.073273702780245,1629-07-05,2316225.966382975,Penumbral
not_visible,-26.02503263530512,1629-11-30,2316374.1371633625,Penumbral
visible,66.4513440234258,1629-12-30,2316403.6531105493,Penumbral
visible,28.013780774901846,1630-05-26,2316550.7092590253,Partial
visible,7.208213918833731,1630-11-19,2316728.431182803,Partial
not_visible,-53.18876570038953,1631-05-15,2316905.302545205,Total
visible,11.891324063533641,1631-11-08,2317082.452494974,Total
not_visible,-27.336662766688534,1632-05-04,2317260.0104519827,Partial
visible,11.913221630357308,1632-10-27,2317436.4586786944,Partial
not_visible,-48.72192292786125,1633-03-25,2317585.170461198,Penumbral
visible,29.977813206708703,1633-04-24,2317614.637287948,Penumbral
not_visible,-46.69718781862981,1633-09-17,2317761.2742239824,Penumbral
visible,57.47427124616137,1633-10-17,2317790.7286412655,Penumbral
not_visible,-23.728041523016206,1634-03-14,2317939.370134801,Partial
visible,1.1370668589966286,1634-09-07,2318115.931806078,Partial
not_visible,-24.15808005842659,1635-03-03,2318293.3575020423,Total
visible,31.061043009905365,1635-08-28,2318470.620124897,Total
not_visible,-0.9458005217602129,1636-02-20,2318647.440823929,Partial
not_visible,-56.34576897850058,1636-08-16,2318825.1457564165,Partial
not_visible,-14.572789498092469,1637-01-10,2318972.3394345664,Penumbral
visible,46.715519152704374,1637-02-09,2319001.8185296725,Penumbral
visible,21.885396535702863,1637-07-07,2319149.769524135,Penumbral
visible,6.961738015241389,1637-12-31,2319326.987768357,Partial
visible,16.75045341062079,1638-06-26,2319503.8067738726,Total
visible,48.86463363037292,1638-12-21,2319681.5837641037,Total
not_visible,-44.55434026103996,1639-06-15,2319858.0643552034,Partial
visible,15.302896243481307,1639-12-10,2320035.9443092146,Partial
not_visible,-50.978726582491674,1640-05-05,2320183.308022504,Penumbral
visible,20.13579251226934,1640-06-04,2320212.6146269063,Penumbral
not_visible,-33.86561004227943,1640-10-29,2320360.227188121,Penumbral
not_visible,-2.9798467922208705,1640-11-28,2320390.008447697,Penumbral
not_visible,-25.130914291521997,1641-04-25,2320538.010114989,Partial
not_visible,-30.318402969134077,1641-10-18,2320714.291938141,Partial
visible,23.20942237037748,1642-04-15,2320892.5779800997,Total
visible,51.81847070295921,1642-10-08,2321068.654374311,Total
visible,22.62031725578697,1643-04-04,2321246.8566264776,Partial
not_visible,-43.27637329049273,1643-09-27,2321423.2695910977,Partial
not_visible,-35.878210712812255,1644-02-22,2321571.145413767,Penumbral
visible,25.563453083506335,1644-08-18,2321748.6008679313,Penumbral
not_visible,-4.694980991548462,1644-09-16,2321777.958163938,Penumbral
not_visible,-29.65886753654271,1645-02-10,2321925.3012167416,Partial
not_visible,-36.98278747277681,1645-08-07,2322103.055137944,Total
visible,63.40225891056013,1646-01-31,2322279.75489403,Total
not_visible,-69.08130265890358,1646-07-27,2322457.2128978376,Total
not_visible,-5.891291726973209,1647-01-20,2322634.391062966,Partial
not_visible,-70.40955631245075,1647-07-16,2322811.2355553936,Penumbral
visible,24.10471335312897,1647-12-11,2322959.4938888764,Penumbral
visible,0.16673376814607485,1648-01-10,2322989.0182093987,Penumbral
not_visible,-29.02640578797916,1648-06-05,2323136.0080674025,Partial
visible,60.85799781050658,1648-11-30,2323313.7685273406,Partial
visible,20.769609943339674,1649-05-26,2323490.6170653435,Total
visible,57.05084579243832,1649-11-19,2323667.776997262,Total
not_visible,-46.62993475895004,1650-05-15,2323845.3293657703,Partial
visible,52.59378044020572,1650-11-08,2324021.7863797843,Partial
visible,3.832624429844047,1651-04-05,2324170.4899018495,Penumbral
not_visible,-11.896230130646284,1651-05-05,2324199.9504344855,Penumbral
visible,38.762678430105,1651-09-29,2324346.604935706,Penumbral
not_visible,-21.626324525057505,1651-10-28,2324376.0677545494,Penumbral
visible,45.750789637870746,1652-03-25,2324524.678803019,Partial
not_visible,-47.53548914397814,1652-09-17,2324701.263515075,Partial
visible,48.51350161744229,1653-03-14,2324878.6697830237,Total
not_visible,-1.2377432908406645,1653-09-07,2325055.941249622,Total
visible,49.971964304681755,1654-03-03,2325232.7718461277,Partial
not_visible,-9.105696655588437,1654-08-27,2325410.44720851,Partial
visible,69.5003831183072,1655-01-22,2325557.7046651295,Penumbral
not_visible,-38.452859575355,1655-02-20,2325587.16934681,Penumbral
not_visible,-35.361526794090814,1655-07-18,2325735.036899579,Penumbral
not_visible,-11.713373982416922,1656-01-11,2325912.356621093,Partial
not_visible,-47.99843206702583,1656-07-06,2326089.0802928978,Total
visible,17.388687930845776,1656-12-31,2326266.9451466966,Total
not_visible,-42.5069947331266,1657-06-25,2326443.3568130173,Total
not_visible,-21.351635541943406,1657-12-20,2326621.2902528844,Partial
visible,22.540357935409087,1658-05-17,2326768.6262871227,Penumbral
not_visible,-6.740813069034271,1658-06-15,2326797.9222037625,Penumbral
visible,39.31228153814266,1658-11-10,2326945.5481623188,Penumbral
not_visible,-13.12368021915959,1658-12-09,2326975.340796459,Penumbral
not_visible,-44.91049373883251,1659-05-06,2327123.3306846265,Partial
visible,54.325808077357145,1659-10-30,2327299.62001556,Partial
visible,6.98350952957801,1660-04-25,2327477.890270487,Total
not_visible,-7.071768314439769,1660-10-18,2327653.993130082,Total
not_visible,-55.051485915859736,1661-04-14,2327832.157147157,Partial
visible,44.01755123158917,1661-10-08,2328008.610435497,Partial
visible,2.8304282070606175,1662-03-04,2328156.465343649,Penumbral
visible,4.631817725876337,1662-08-29,2328333.9145695525,Penumbral
not_visible,-40.00276583330269,1662-09-27,2328363.291199498,Penumbral
visible,50.42116825181266,1663-02-22,2328510.6413461175,Partial
not_visible,-38.72353634145578,1663-08-18,2328688.347304102,Partial
not_visible,-26.204190874809633,1664-02-11,2328865.11335066,Total
not_visible,-4.705162440401705,1664-08-06,2329042.486134615,Total
visible,63.57685808909758,1665-01-31,2329219.7571684946,Partial
not_visible,-1.7646872447559685,1665-07-27,2329396.508030104,Penumbral
visible,41.84391203961264,1665-12-22,2329544.851160068,Penumbral
not_visible,-7.629542483304132,1666-01-20,2329574.3813795554,Penumbral
not_visible,-55.348017302248905,1666-06-16,2329721.3060102197,Partial
not_visible,-20.20031831210197,1666-12-11,2329899.1080263634,Partial
not_visible,-9.06079103536064,1667-06-06,2330075.9294874454,Total
not_visible,-20.945377342982315,1667-11-30,2330253.10514054,Total
visible,23.58416994499551,1668-05-26,2330430.644967858,Partial
not_visible,-24.853914190303016,1668-11-18,2330607.1196317356,Partial
visible,30.09104923966206,1669-04-16,2330755.802455669,Penumbral
not_visible,-63.71386517051612,1669-05-15,2330785.2582653654,Penumbral
visible,4.441611133876789,1669-10-09,2330931.9416404804,Penumbral
visible,2.5642375822609322,1669-11-07,2330961.412550413,Penumbral
not_visible,-10.590443531932436,1670-04-05,2331109.9802268883,Partial
visible,38.717893714823745,1670-09-29,2331286.6006149943,Partial
not_visible,-6.213308615682519,1671-03-25,2331463.974687943,Total
not_visible,-46.058744188906196,1671-09-18,2331641.2675206563,Total
not_visible,-34.2823923235163,1672-03-13,2331818.097750242,Partial
visible,40.67506477232611,1672-09-07,2331995.7523674495,Partial
not_visible,-14.040591453344952,1673-02-01,2332143.0681833928,Penumbral
visible,17.27618731286751,1673-03-03,2332172.516645265,Penumbral
not_visible,-54.778311883123806,1673-07-28,2332320.3056956665,Penumbral
visible,68.82752479803854,1674-01-22,2332497.7249375596,Partial
not_visible,-43.03087181277589,1674-07-17,2332674.354263518,Total
not_visible,-21.015355138855885,1675-01-11,2332852.306736271,Total
visible,23.127447061171594,1675-07-07,2333028.6501081632,Total
visible,60.94139780282642,1676-01-01,2333206.6363000446,Partial
not_visible,-12.994988463575464,1676-05-27,2333353.9426606856,Penumbral
not_visible,-70.56674708722241,1676-06-25,2333383.230599137,Penumbral
visible,32.30387939297683,1676-11-20,2333530.873859452,Penumbral
visible,68.95399498650372,1676-12-20,2333560.674782254,Penumbral
visible,25.519446660810654,1677-05-17,2333708.647876707,Partial
visible,8.305642796915869,1677-11-09,2333884.953220469,Partial
not_visible,-66.33105830615683,1678-05-06,2334063.197442791,Total
not_visible,-18.557932696211054,1678-10-29,2334239.3377189636,Total
not_visible,-10.340298988981555,1679-04-25,2334417.45031059,Partial
visible,2.0244426951256265,1679-10-19,2334593.9575457866,Partial
visible,43.47499695469868,1680-03-15,2334741.7790358663,Penumbral
not_visible,-2.54486316007433,1680-04-13,2334771.4708324736,Penumbral
not_visible,-52.66014714331362,1680-09-08,2334919.232824766,Penumbral
visible,47.12079991591103,1680-10-08,2334948.6294472236,Penumbral
not_visible,-0.8980057112466077,1681-03-04,2335095.9767431472,Partial
visible,35.58269518721529,1681-08-29,2335273.6430077613,Partial
visible,6.151756187146151,1682-02-21,2335450.467479497,Total
visible,32.41588741811046,1682-08-18,2335627.7619210263,Total
not_visible,-26.83456160288617,1683-02-11,2335805.1198306084,Partial
visible,26.12263524800384,1683-08-07,2335981.783938822,Partial
not_visible,-28.472727441752852,1684-01-02,2336130.208704099,Penumbral
visible,66.14977290727187,1684-02-01,2336159.7415484865,Penumbral
visible,17.129131161702077,1684-06-27,2336306.604282325,Partial
visible,12.21015063109119,1684-12-21,2336484.449566978,Partial
not_visible,-70.02346257041873,1685-06-16,2336661.2400655304,Total
visible,10.183932269278145,1685-12-10,2336838.4370471146,Total
not_visible,-16.700315004014133,1686-06-06,2337015.9572488344,Partial
visible,16.177430240798916,1686-11-29,2337192.458161711,Partial
not_visible,-49.23074709100709,1687-04-27,2337341.108329636,Penumbral
visible,10.145489004653735,1687-05-27,2337370.561232184,Penumbral
not_visible,-32.88027634073881,1687-10-20,2337517.284761675,Penumbral
visible,60.69644559352176,1687-11-19,2337546.7630382613,Penumbral
not_visible,-52.47457351182948,1688-04-15,2337695.2759117316,Partial
visible,4.364943481387306,1688-10-09,2337871.94255075,Partial
not_visible,-49.763091892576924,1689-04-04,2338049.275415604,Total
visible,39.045758262343426,1689-09-29,2338226.598063031,Total
not_visible,-13.539555708313076,1690-03-24,2338403.418752663,Partial
not_visible,-30.65114214063975,1690-09-18,2338581.0614966685,Partial
not_visible,-1.9693779463061936,1691-02-12,2338728.4281547493,Penumbral
visible,26.810058105197957,1691-03-14,2338757.8587880027,Penumbral
visible,16.425812631157,1691-08-09,2338905.5779916216,Penumbral
not_visible,-19.132235754666276,1692-02-02,2339083.089330789,Partial
visible,23.745841225109654,1692-07-28,2339259.632552522,Partial
visible,63.52148504863274,1693-01-22,2339437.6656633127,Total
not_visible,-10.664524853384657,1693-07-17,2339613.9451438356,Total
visible,7.407802855148775,1694-01-11,2339791.9812840736,Partial
not_visible,-67.96087467926937,1694-06-07,2339939.2556849145,Penumbral
visible,4.771906373192994,1694-07-07,2339968.53845824,Partial
not_visible,-26.71960661317369,1694-12-01,2340116.204477098,Penumbral
visible,0.005881802274219907,1694-12-31,2340146.0096806493,Penumbral
not_visible,-16.97190041774716,1695-05-28,2340293.9596778634,Partial
not_visible,-21.45607665551051,1695-11-20,2340470.293105232,Partial
not_visible,-1.8127077956438895,1696-05-16,2340648.498819617,Total
visible,65.98022855428458,1696-11-09,2340824.687717584,Total
visible,31.275245550963074,1697-05-06,2341002.7381019183,Partial
not_visible,-24.80873126949625,1697-10-29,2341179.3096988928,Partial
not_visible,-37.02813656019976,1698-03-26,2341327.0879016565,Penumbral
visible,33.62110466570706,1698-04-25,2341356.75799345,Penumbral
visible,26.871521377982887,1698-09-20,2341504.5545892515,Penumbral
not_visible,-2.2038131950381397,1698-10-19,2341533.972568417,Penumbral
not_visible,-38.23087508342051,1699-03-15,2341681.3082263493,Partial
